;Cross-Validation Score (Mean);Acurácia;f1 score;precision score;recall score
Random Forest;0.9763649088804545;96.71;0.9802890932982917;0.9815789473684211;0.979002624671916
Support Vector Machine;0.980632049314921;96.71;0.9802371541501976;0.9841269841269841;0.9763779527559056
Logistic Regression;0.9665137688766858;96.49;0.9788359788359788;0.9866666666666667;0.9711286089238845
Decision Tree;0.9540520606207435;95.39;0.9724770642201835;0.9712041884816754;0.973753280839895
K-Nearest Neighbors;0.9720966917009879;94.52;0.9665327978580991;0.9863387978142076;0.94750656167979
Gradient Boosting;0.0;90.13;0.938101788170564;0.9863387978142076;0.94750656167979
